BMID_Experiment,X,Y,Z
,-40,-52,60
,-44,-34,44
,-54,-54,38
,12,32,26
,14,52,28
,20,16,62
,26,2,64
,30,-56,54
,34,18,-12
,36,-74,34
,38,4,48
,4,18,58
,48,-36,54
,50,24,36
,6,-68,48
5070149_1,-28,-60,48
,-30,-64,6
,-38,20,0
,-42,-56,0
,-44,4,28
,-52,-2,28
,-54,-12,48
,-8,8,52
,10,10,52
,30,-56,6
,30,20,10
,38,26,-4
,42,8,24
5070159_2,-15,-75,52
,-26,-56,51
,-44,6,27
,-48,-38,58
,10,9,57
,15,-69,42
,30,4,62
,32,-7,63
,34,-62,46
,52,-40,57
,6,-34,30
,60,14,33
,8,11,48
5070161_4,-13,-81,-24
,-38,10,34
,-45,28,3
,8,-74,-19
5070175_1,-34,-50,38
,-44,4,28
,-48,-54,-14
,32,-68,-20
5070175_2,-42,4,30
,-48,-74,-10
,12,-72,-38
5070175_3,-42,2,28
,-46,-54,-18
,-8,14,50
5070175_4,-42,4,30
,-44,-56,-16
,-48,-40,0
,10,-72,-34
5070175_5,-42,4,32
,2,-68,-38
5070175_7,-42,-66,-16
,-42,4,30
,-46,-34,-2
,4,-72,-36
5070175_8,-32,-86,-18
,-42,4,30
,10,-70,-22
5070175_9,-36,-62,-14
,-42,2,28
,-46,-34,-2
,-6,10,56
,6,-72,-28
5080177_6,-18,6,51
,-27,-12,30
,-42,-42,9
,-42,30,18
,-42,9,27
,-45,-57,-12
,-51,-30,33
,21,18,39
,24,-48,42
,30,-60,42
,30,9,33
5080177_8,-30,-45,45
,-42,9,27
,-48,-57,-12
,27,-48,42
,30,-63,39
,45,12,15
,48,30,21
5080178_11,-42,6,27
,30,27,3
,39,-39,54
,48,15,30
5080180_1,-2,26,40
,-26,44,36
,-26,6,60
,-32,20,-4
,-34,-64,48
,-34,-72,-36
,-40,2,24
,-46,24,32
,-50,18,-12
,12,-82,-28
,34,-70,40
,38,28,28
,38,38,-36
,38,48,-12
5080183_2,-30,-78,-4
,-34,-72,8
,-4,14,56
,-40,14,30
,-42,-54,42
,-46,16,22
,-46,2,44
,-46,4,22
,-48,16,2
,-48,26,22
,-56,-44,16
,28,-70,-14
,36,-62,-10
5080186_4,-11,7,55
,-18,-19,9
,-19,-47,-44
,-25,-54,-19
,-31,-47,50
,-33,-55,62
,-35,-11,67
,-39,-39,43
,-40,-80,-3
,-42,0,30
,-43,-23,59
,-5,-93,-4
,18,-65,-54
,20,-56,-24
,23,-91,15
,25,-28,2
,3,-25,-11
,34,-57,59
,38,-70,-18
,38,-93,-7
,5,-75,-17
5080200_2,-20,-67,51
,-20,55,14
,-22,-84,34
,-27,17,-10
,-29,-17,56
,-35,6,36
,-39,-34,48
,-52,-30,44
,6,-76,11
5080206_3,-23,46,18
,-34,-12,-7
,-40,47,-22
,-42,4,27
,-7,-42,18
5080216_1,-21,-77,51
,-39,-75,4
,-39,9,29
,-40,38,-1
,2,32,40
,28,-68,50
,34,59,7
,44,-76,0
,48,20,34
5080216_2,-11,73,4
,-26,-62,50
,-39,8,33
,-45,45,-3
,-46,-80,7
,0,31,41
,21,68,2
,28,-71,43
,42,-84,7
,43,21,17
5080217_2,-14,-78,-16
,-22,-80,28
,-24,-60,-12
,-28,-78,-16
,-30,-78,12
,-38,-76,8
,-38,24,24
,-4,-68,40
,-42,8,28
,24,-66,40
,26,-76,20
,38,12,32
5090223_1,-16,-101,11
,-26,-67,44
,-32,-95,11
,-33,-3,46
,-35,-44,52
,-35,38,29
,-38,-68,-11
,-41,3,32
,10,-66,50
,10,-83,-11
,22,-98,11
,3,11,54
,35,-53,49
,38,-73,37
,38,1,44
,39,17,11
,41,-76,2
,41,38,26
,48,4,37
,6,-33,25
,60,-56,10
,65,-44,35
5090223_2,-10,-21,11
,-23,-61,-9
,-23,-64,-8
,-25,-102,5
,-26,-66,51
,-27,14,8
,-3,7,44
,-33,-95,11
,-35,-59,57
,-36,-18,54
,-38,-40,56
,-38,-5,17
,-39,-63,5
,-39,6,32
,-41,-8,17
,-54,-20,25
,-54,5,26
,12,-21,14
,36,-4,62
,58,8,34
,61,-25,36
5090223_3,-1,10,47
,-28,-2,52
,-30,17,8
,-35,38,29
,-41,6,32
,35,17,7
,38,1,48
,42,38,26
,44,40,12
,52,9,30
5090223_4,-29,4,52
,-32,46,9
,-35,17,5
,-39,7,29
,26,7,47
,34,21,11
,37,46,8
,50,16,27
,7,17,44
5090224_1,-38,9,31
,39,-56,49
,60,24,13
5090232_10,-34,4,25
,-38,11,5
,-45,-60,-15
,-45,-64,0
5090233_3,-27,3,0
,-30,-48,45
,-39,-60,-27
,-42,-12,54
,-42,3,33
